Name,Education,Profession,Net_Worth,Networth Unit,Income,Income Unit,Criminal_Cases
DEVESH KANT SINGH,Graduate B.A.,Rent & Agriculture,30036958,3 Crore,1257570,12 Lakh,0
RABINDRA KUMAR,Graduate B.Sc,Agriculture & Social Work,10749042,1 Crore,0,0,0
ASHWAMEDH DEVI,5th Pass,Pension & Agriculture,76618461,7 Crore,966090,9 Lakh,0
MANOJ KUMAR MAHTO,8th Pass,Business,17000,17 Thousand,0,0,0
UMESH RAY,10th Pass,Agriculture,720000,7 Lakh,0,0,0
VIGAN MANJHI,12th Pass,"Agriculture, Labour",3938100,39 Lakh,0,0,1
SANDEEP SAURAV,Doctorate Phd,Salary and Allowances from Bihar Vidhan Mandal,2723876,27 Lakh,0,0,1
CHANDNI DEVI,12th Pass,Social Service and Politics Presently Member of Zila Parishad Saran From Mashrakh (West) Constituency Saran at Chhapra,28663868,2 Crore,0,0,0
BHOLA YADAV,Post Graduate,Social Works,55663859,5 Crore,963500,9 Lakh,6
BINDA MAHATO,Post Graduate,Retired (Pensioner),0,0,461320,4 Lakh,3
PRAMOD KUMAR MALL,Graduate Professional,"Social Work, Constructing Engineer, Self Employed",180506946,18 Crore,10474930,1 Crore,1
KANCHAN KUMARI BHARTI,Graduate,Career Counselors,250000,2 Lakh,0,0,0
RATNESH KUMAR,Graduate Professional,Advocate,31970987,3 Crore,509650,5 Lakh,1
RAMESH RISHI,Doctorate Ph.D,"Assistant Professor, Parwati Science College, Madhepura",22816086,2 Crore,475720,4 Lakh,1
BALIRAM SINGH,Graduate Graduation,Agriculture & Social Work,42664948,4 Crore,424210,4 Lakh,0
DADAN YADAV,12th Pass,"Politics, Business",0,0,1109330,11 Lakh,8
SATYADEO RAM,10th Pass,Social Worker & Politics,4802648,48 Lakh,0,0,10
SANJAY YADAV,Graduate BSC,Nil,17900000,1 Crore,689470,6 Lakh,1
LALIT KUMAR YADAV,Post Graduate,"Salary allowances etc. received from Bihar Legislature, House Rent and Agricultural Income",140663807,14 Crore,3710099,37 Lakh,1
RAJAN KUMAR,Graduate B.A,Agriculture,1011000,10 Lakh,0,0,0
AJAY KUMAR PATHAK,12th Pass,Priest,4577000,45 Lakh,0,0,0
DR SATYENDRA YADAV,"Doctorate Ph.D,",Agriculture & Social Work,26304560,2 Crore,112860,1 Lakh,8
JAYANTI PATEL,12th Pass,Nil,70424549,7 Crore,1120500,11 Lakh,0
SANJAY KUMAR SINGH,Graduate B.Com.,Salary & Allowance,23327867,2 Crore,533810,5 Lakh,1
BINOD MISHRA,Post Graduate,Agriculture & House Rent,16965107,1 Crore,707010,7 Lakh,0
SHYAM RAJAK,Graduate B.Com,Pension,46209070,4 Crore,1726350,17 Lakh,4
RAJEEV KUMAR URF MUNNA YADAV,12th Pass,Agriculture,31151642,3 Crore,982640,9 Lakh,4
GHANSHYAM KUMAR DAHA,12th Pass,Social Service,4811360,48 Lakh,545430,5 Lakh,0
SIDDHARTH SAURAV,12th Pass,Agriculture & Salary,437232421,43 Crore,2504810,25 Lakh,8
ARUN THAKUR,Graduate B.Com,No,1190000,11 Lakh,97790,97 Thousand,0
EJYA YADAV,Doctorate Ph.D.,"Pension ( Former MLA), Pvt. Tuition",113223415,11 Crore,2176210,21 Lakh,2
VIJAY KUMAR SINHA,Others Civil,"Social worker, MLA, Minister",104097676,10 Crore,2222370,22 Lakh,0
BYAS MANJHI,Graduate Professional,Lawyer,2370000,23 Lakh,0,0,0
AJAY KUMAR,10th Pass,Insurance Agent,21303450,2 Crore,0,0,0
RAMSEWAK SINGH,12th Pass,Nil,21086842,2 Crore,1248546,12 Lakh,0
JITENDRA YADAV,10th Pass,Rural Doctor,3450000,34 Lakh,0,0,0
SANJAY KUMAR SINGH,Graduate,Business,73046744,7 Crore,3251740,32 Lakh,2
SUBHASH KUMAR,Graduate B.A.,Online Service Centre-Overtake Trading Pvt. Ltd.,1205000,12 Lakh,0,0,0
AVADHESH KUMAR,10th Pass,Labour,3020813,30 Lakh,0,0,0
JAI PRAKASH SINGH,Post Graduate,Retired Govt. Servant,101651740,10 Crore,3125050,31 Lakh,0
SRIKANT YADAV,8th Pass,Business,15653580,1 Crore,4217992,42 Lakh,0
RAM SAGAR ROY,10th Pass,Retired Senior Junior Commissioned,7377000,73 Lakh,0,0,0
NACHIKETA,Post Graduate,Social Services,50205610,5 Crore,1785800,17 Lakh,1
MUKESH KUMAR,Post Graduate,Mukhiya,20250000,2 Crore,495450,4 Lakh,0
NANHAK SAH,12th Pass,Business,10887962,1 Crore,1625740,16 Lakh,0
SANJAY KUMAR SHARMA,Graduate Professional,Social Worker,90860000,9 Crore,440607,4 Lakh,1
MRITYUNJAY KUMAR SINGH,Graduate Graudate,Farmer,17297000,1 Crore,0,0,0
AKHTAR SHAHANSHA,8th Pass,Agriculture,6603000,66 Lakh,495730,4 Lakh,7
BRAJ BIHARI SINGH,Graduate Professional,Law Business and Agriculture,30592295,3 Crore,0,0,0
NABIN KUMAR,Others Diploma,Agriculture and Business,26953790,2 Crore,696730,6 Lakh,0
VEENA DEVI,8th Pass,Business & Social Work,135148146,13 Crore,3129960,31 Lakh,0
AMAR SHANKAR,Graduate,Rs.30000/-,18457687,1 Crore,0,0,0
SANJIV CHAURASIA,Doctorate Ph.D.,"Emoluments as MLA (BJP Bihar), Assistant Professor S.S. Memorial College Ranchi on lien (leave without pay)",224828000,22 Crore,1306470,13 Lakh,3
SHRAWON KUMAR,12th Pass,Agriculture & Social Worker,36632394,3 Crore,333940,3 Lakh,0
JIYA SINGH LUCY,Post Graduate,Social Work,1135590,11 Lakh,0,0,0
KRISHANA MURARI SHARAN URF PREM MUKHIYA,12th Pass,"Agriculture, Sale of Agriculture Product, Rent",44918532,4 Crore,878490,8 Lakh,0
